"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"2" "mPP-0078" NA "AKI-XVII103" 6.06415655044731 5.91827866996031 6.21209355017918 NA
"4" "mPP-0077" NA "TL2-73" 6.41797027281112 6.25816696223983 6.58609162641033 NA
"3" "mPP-0083" NA "TL4-58" 11.7852230595998 10.6554320795793 13.0185287061748 NA
"1" "mPP-0028" "5" "MTI-61" 16.8991498339689 15.5685602153339 18.3354249543144 NA
"8" "mPP-0082" NA "TL4-63" 26.5840452880765 24.721268969689 28.5441337045592 NA
"6" "mPP-0230" NA "AKI-A165" 51.2597311305813 47.5549909671536 54.9983198239925 NA
"9" "mPP-0079" NA "AKI-XVII151" 70.0440685863574 64.9071217715555 75.4051730806172 NA
"7" "mPP-0231" NA "AKI-A173" 113.446846485969 104.208364768905 124.25402057241 NA
"5" "mPP-0229" NA "AKI-A93" NA NA NA NA
"11" "mPP-0215" "17" "Amb777" 34.1139796916596 32.0220309984548 36.4233808794022 NA
"215" "mPP-0207" "19" "Amb486" 43.0545238681754 28.4389667142462 57.9994173220908 NA
"19" "mPP-0221" "18" "Amb535" 45.5590541436032 43.6712740336829 47.4201866732056 NA
"410" "mPP-0206" "16" "Amb928" 76.0474497878544 63.6473840551971 89.7108070035219 NA
"310" "mPP-0208" "20" "Amb838" 93.3007916986523 74.7013324795753 115.269194560922 NA
"510" "mPP-0209" "22" "Amb736" 199.856523409978 155.604748305579 253.963036181633 NA
"15" "mPP-0219" "SI-52" "Amb355" 340.464993121159 279.974297418207 414.685530636154 NA
"710" "mPP-0212" "SI-49" "Amb139" 805.627841400941 366.288240306095 2601.7967450172 NA
"1100" "mPP-0205" "SI-44" "Amb929" NA NA NA NA
"610" "mPP-0210" "SI-51" "Amb194" NA NA NA NA
"810" "mPP-0213" "SI-46" "Amb841" NA NA NA NA
"910" "mPP-0211" "SI-48" "Amb753" NA NA NA NA
"10" "mPP-0214" "SI-45" "Amb497" NA NA NA NA
"12" "mPP-0217" "21" "Amb717" NA NA NA NA
"13" "mPP-0218" "SI-50" "Amb954" NA NA NA NA
"14" "mPP-0216" "SI-47" "Amb586" NA NA NA NA
"16" "mPP-0220" "24" "Amb509" NA NA NA NA
"17" "mPP-0222" "23" "Amb684" NA NA NA NA
"18" "mPP-0029" "11d" "DAP-19" NA NA NA NA
"20" "mPP-0024" "11e" "DAP-21" NA NA NA NA
"21" "mPP-0023" "11b" "DAP-23" NA NA NA NA
"22" "mPP-0225" NA "AKI-B93" NA NA NA NA
"23" "mPP-0227" NA "AKI-B129" NA NA NA NA
"24" "AKI-B31" NA "AKI-B31" NA NA NA NA
"25" "mPP-0233" NA "AKI-B169" NA NA NA NA
