Generic code,IC50,new IC50 [CI95%] (uM)
mPP-0332,5.356,5.356  [  5.051  -  5.677  ]
mPP-0323,42.859,42.859  [  37.401  -  48.341  ]
mPP-0324,74.306,74.306  [  68.2  -  80.814  ]
mPP-0321,85.812,85.812  [  72.284  -  102.804  ]
mPP-0331,671.795,671.795  [  372.807  -  1256.731  ]
mPP-0336,717.611,717.611  [  499.252  -  1039.905  ]
mPP-0320,773.443,773.443  [  225.418  -  6564.844  ]
mPP-0314,2371.187,2371.187  [  751.612  -  12419.897  ]
mPP-0313,,NA  [  NA  -  NA  ]
mPP-0325,,NA  [  NA  -  NA  ]
mPP-0315,,NA  [  NA  -  NA  ]
mPP-0326,,NA  [  NA  -  NA  ]
mPP-0328,,NA  [  NA  -  NA  ]
mPP-0329,,NA  [  NA  -  NA  ]
mPP-0330,,NA  [  NA  -  NA  ]
mPP-0333,,NA  [  NA  -  NA  ]
mPP-0335,,NA  [  NA  -  NA  ]
mPP-0338,,NA  [  NA  -  NA  ]
mPP-0316,,NA  [  NA  -  NA  ]
mPP-0337,,NA  [  NA  -  NA  ]
mPP-0317,,NA  [  NA  -  NA  ]
mPP-0318,,NA  [  NA  -  NA  ]
mPP-0319,,NA  [  NA  -  NA  ]
mPP-0322,,NA  [  NA  -  NA  ]
