Generic code,IC50,new IC50 [CI95%] (uM)
HZ21,1.458,1.458  [  0.004  -  8101.382  ]
NJAKI18,3.208,3.208  [  2.913  -  3.536  ]
HZ33,4.631,4.631  [  4.332  -  4.931  ]
HZ28,6.846,6.846  [  6.381  -  7.342  ]
HZ35,7.904,7.904  [  6.74  -  9.21  ]
HZ34,9.926,9.926  [  8.705  -  11.289  ]
HZ31,17.72,17.72  [  15.588  -  20.352  ]
NJAKI17,20.738,20.738  [  19.542  -  21.965  ]
AKI18,23.369,23.369  [  20.894  -  25.905  ]
HZ27,62.061,62.061  [  54.921  -  69.957  ]
NJAKI12,77.551,77.551  [  65.77  -  92.865  ]
HZ32,382.481,382.481  [  273.596  -  548.367  ]
NJAKI13,,NA  [  NA  -  NA  ]
NJAKI14,,NA  [  NA  -  NA  ]
NJAKI16,,NA  [  NA  -  NA  ]
NJAKI15,,NA  [  NA  -  NA  ]
AKI13,,NA  [  NA  -  NA  ]
AKI20,,NA  [  NA  -  NA  ]
