Generic code,IC50,new IC50 [CI95%]
mPP-0293,1.87965654308234,1.87965654308234  [  0.510021853333022  -  5.12564387310312  ]
mPP-0297,54.4453760471736,54.4453760471736  [  49.7937425225024  -  59.3626713071805  ]
mPP-0294,72.8500571340557,72.8500571340557  [  70.9992453134136  -  74.6583994762276  ]
mPP-0290,230.141573939356,230.141573939356  [  134.056137111842  -  418.354861840634  ]
mPP-0292,2213.15159518675,2213.15159518675  [  837.461906046194  -  9764.3445892045  ]
mPP-0286,,NA  [  NA  -  NA  ]
mPP-0288,,NA  [  NA  -  NA  ]
mPP-0289,,NA  [  NA  -  NA  ]
mPP-0287,,NA  [  NA  -  NA  ]
mPP-0291,,NA  [  NA  -  NA  ]
mPP-0295,,NA  [  NA  -  NA  ]
mPP-0296,,NA  [  NA  -  NA  ]
mPP-0298,,NA  [  NA  -  NA  ]
mPP-0299,,NA  [  NA  -  NA  ]
mPP-0300,,NA  [  NA  -  NA  ]
