SMILES,name,canvasUID,docking score
c1cccc(Cl)c1[C@@]2(C(=O)CCCC2)N(C)C(=O)CSc(s3)nnc3NC4CC4,ZINC12768943,1,-7.54118656357661
c1cccc(Cl)c1[C@]2(C(=O)CCCC2)N(C)C(=O)CSc3nncn3-c4c(F)cccc4,ZINC09871169,2,-7.31586836078274
c1cccc(Cl)c1[C@@]2(C(=O)CCCC2)N(C)C(=O)C[NH+](CC3)CCN3c4nccs4,ZINC72309067,3,-7.24341263228919
c1ccc(C(F)(F)F)cc1C(=O)N(C)[C@]2(C(=O)CCCC2)c3c(Cl)cccc3,ZINC03236260,4,-7.12438391499477
c1cccc(Cl)c1[C@]2(C(=O)CCCC2)N(C)C(=O)CSc(n[nH]3)nc3-c4ccccc4,ZINC12749337,5,-7.00951064540661
c1cccc(Cl)c1[C@]2(C(=O)CCCC2)N(C)C(=O)CSc(n[nH]3)nc3-c4cccs4,ZINC12750265,6,-6.99840392087274
c1ccc(C(F)(F)F)cc1C(=O)N(C)[C@@]2(C(=O)CCCC2)c3c(Cl)cccc3,ZINC03236259,7,-6.98785906914317
CC(C)=CC(=O)OCC(=O)N(C)[C@@]1(C(=O)CCCC1)c2c(Cl)cccc2,ZINC21735174,8,-6.93117506506322
c1cccc(Cl)c1[C@@]2(C(=O)CCCC2)N(C)C(=O)CSc(n[nH]3)nc3-c4ccccc4,ZINC12749343,9,-6.90058316448942
c1cccc(Cl)c1[C@@]2(C(=O)CCCC2)N(C)C(=O)CCNC(=O)c3c(F)cc(F)cc3,ZINC58147051,10,-6.80967993009479
O1CCC[C@H]1C(=O)N(C)[C@]2(C(=O)CCCC2)c3c(Cl)cccc3,ZINC74393475,11,-6.80592495058253
C1CCCC(=O)[C@]1([NH2+]C)c2c(Cl)cccc2,ZINC36294079,12,-6.72614473304386
C1CCCC(=O)[C@]1([NH2+]C)c2c(Cl)cccc2,ZINC36294079,13,-6.72614473304386
O1CCC[C@H]1C(=O)N(C)[C@@]2(C(=O)CCCC2)c3c(Cl)cccc3,ZINC74393480,14,-6.55810803134294
c1cccc(Cl)c1[C@]2(C(=O)CCCC2)N(C)C(=O)CCc3ccccc3,ZINC06509042,15,-6.53902452239501
C1OCc(c12)ccc(c2)C(=O)N(C)[C@@]3(C(=O)CCCC3)c4c(Cl)cccc4,ZINC89310214,16,-6.52819309874974
C1CCCC(=O)[C@@]1([NH2+]C)c2c(Cl)cccc2,ZINC35999642,17,-6.51283065838562
C1CCCC(=O)[C@@]1([NH2+]C)c2c(Cl)cccc2,ZINC35999642,18,-6.51283065838562
c1cccc(Cl)c1[C@]2(C(=O)CCCC2)N(C)C(=O)CSc(o3)nnc3-c4ccccc4,ZINC10029291,19,-6.45488610437025
c1cccc(Cl)c1[C@@]2(C(=O)CCCC2)N(C)C(=O)CSc(n3CC)nnc3-c4ccco4,ZINC09513705,20,-6.33064909323858
s1cnnc1SCC(=O)N(C)[C@@]2(C(=O)CCCC2)c3c(Cl)cccc3,ZINC09481127,21,-6.27253194074418
n1cscc1C(=O)N(C)[C@@]2(C(=O)CCCC2)c3c(Cl)cccc3,ZINC67946084,22,-6.25956959579078
c1cccc(Cl)c1[C@@]2(C(=O)CCCC2)N(C)C(=O)CSc(s3)nnc3NCC,ZINC12749353,23,-6.18750975381448
CCOCCCC(=O)N(C)[C@]1(C(=O)CCCC1)c2c(Cl)cccc2,ZINC78826319,24,-6.10155470098596
c1cccc(Cl)c1[C@@]2(C(=O)CCCC2)N(C)C(=O)CSc3nncn3-c4ccccc4,ZINC09206744,25,-6.08089860276756
CCOCCCC(=O)N(C)[C@@]1(C(=O)CCCC1)c2c(Cl)cccc2,ZINC78826329,26,-6.07443472033699
c1cccc(Cl)c1[C@@]2(C(=O)CCCC2)N(C)C(=O)CSc3ncnc(c34)cccc4,ZINC13128613,27,-5.99235890112998
C1CCCC(=O)[C@]1(N(C)C(=O)C)c2c(Cl)cccc2,ZINC78384965,28,-5.97434459847357
CCn(c1)ncc1C(=O)N(C)[C@@]2(C(=O)CCCC2)c3c(Cl)cccc3,ZINC74433882,29,-5.96478988780057
n1cscc1C(=O)N(C)[C@]2(C(=O)CCCC2)c3c(Cl)cccc3,ZINC67946083,30,-5.87703704413612
c1cccc(Cl)c1[C@]2(C(=O)CCCC2)N(C)C(=O)CSc(n[nH]3)nc3-c4cccs4,ZINC12750265,31,-5.87444132443573
c1cccc(Cl)c1[C@]2(C(=O)CCCC2)N(C)C(=O)CSc(n[nH]3)nc3-c4cccs4,ZINC12750265,32,-5.87444132443573
c1cccc(Cl)c1[C@]2(C(=O)CCCC2)N(C)C(=O)CSc(n[nH]3)nc3-c4cccs4,ZINC12750265,33,-5.87444132443573
