SMILES,name,canvasUID,Source File,Source File Index,Molecular weight
COC(=O)c1cc(on1)-c2c(OC)cccc2,ZINC00037052,1,Ambinter.sdf,1,233.22577
COC(=O)c1cc(on1)-c2ccccc2,ZINC00487561,3,Ambinter.sdf,3,203.19928
[O-]C(=O)c1cc(on1)-c(cc2)ccc2C,ZINC00614636,4,Ambinter.sdf,4,202.19131
[O-]C(=O)c1cc(on1)-c2c(Cl)cccc2,ZINC00810961,5,Ambinter.sdf,5,222.60925
[O-]C(=O)c1cc(on1)-c2ccc(cc2)OC,ZINC00810963,6,Ambinter.sdf,6,218.19071
[O-]C(=O)c1cc(on1)-c2cc(OC)ccc2,ZINC00810964,7,Ambinter.sdf,7,218.19071
[O-]C(=O)c1cc(on1)-c2cc(OC)c(cc2)OC,ZINC00810965,8,Ambinter.sdf,8,248.2172
[O-]C(=O)c1cc(on1)-c(c2)ccc(c23)OCO3,ZINC00810966,9,Ambinter.sdf,9,232.17417
[O-]C(=O)c1cc(on1)-c2ccc(O)cc2,ZINC00810970,10,Ambinter.sdf,10,204.16362
[O-]C(=O)c1cc(on1)-c2c(O)cccc2,ZINC00810972,11,Ambinter.sdf,11,204.16362
[O-]C(=O)c1cc(on1)-c2ccc(F)cc2,ZINC00818990,12,Ambinter.sdf,12,206.15465
[O-]C(=O)c1cc(on1)-c2ccccc2,ZINC00873418,13,Ambinter.sdf,13,188.16422
[O-]C(=O)c1cc(on1)-c2ccc(Cl)cc2,ZINC00874633,14,Ambinter.sdf,14,222.60925
COC(=O)c1cc(on1)-c2ccc(F)cc2,ZINC01104755,15,Ambinter.sdf,15,221.18971
[O-]C(=O)c1cc(on1)-c2c(Cl)cc(Cl)cc2,ZINC01126437,16,Ambinter.sdf,16,257.05428
COC(=O)c1cc(on1)-c2ccc(Cl)cc2,ZINC02482946,18,Ambinter.sdf,18,237.64431
COC(=O)c1cc(on1)-c2cc(OC)c(cc2)OC,ZINC02486325,19,Ambinter.sdf,19,263.25226
COC(=O)c1cc(on1)-c2ccc(Br)cc2,ZINC02503034,20,Ambinter.sdf,20,282.10031
COC(=O)c1cc(on1)-c(cc2)ccc2C,ZINC03633949,21,Ambinter.sdf,21,217.22637
COC(=O)c1cc(on1)-c2cc(OC)ccc2,ZINC03633950,22,Ambinter.sdf,22,233.22577
[O-]C(=O)c1cc(on1)-c2ccc(cc2)OCC,ZINC04234923,23,Ambinter.sdf,23,232.2178
[O-]C(=O)c1cc(on1)-c(cc2)ccc2CC,ZINC04234924,24,Ambinter.sdf,24,216.2184
[O-]C(=O)c1cc(on1)-c2cc(O)ccc2,ZINC04294549,25,Ambinter.sdf,25,204.16362
[O-]C(=O)c1cc(on1)-c2cc(Cl)c(Cl)cc2,ZINC04498606,26,Ambinter.sdf,26,257.05428
[O-]C(=O)c1cc(on1)-c2c(OC)cccc2,ZINC04992770,27,Ambinter.sdf,27,218.19071
[O-]C(=O)c1cc(on1)-c(c2)ccc(c23)OCCO3,ZINC06645491,28,Ambinter.sdf,28,246.20126
