SMILES,name,canvasUID,Source File,Molecular weight,Source File Index
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@@H](C)CSc(c34)cccc4,ZINC20985190,1,Mcule.sdf,488.58553,113
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@H](C)CSc(c34)cccc4,ZINC20985195,2,Mcule.sdf,488.58553,114
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CC[C@@H](C)Sc(c34)cccc4,ZINC20985200,3,Mcule.sdf,488.58553,115
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CC[C@H](C)Sc(c34)cccc4,ZINC20985204,4,Mcule.sdf,488.58553,116
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@H](C)Sc(c34)cccc4,ZINC20985164,5,Mcule.sdf,474.55844,109
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCCSc(c34)cccc4,ZINC20985187,6,Mcule.sdf,474.55844,112
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@@H](C)Sc(c34)cccc4,ZINC20985160,153,Mcule.sdf,474.55844,108
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCSc(c34)cccc4,ZINC20985169,7,Mcule.sdf,460.53135,110
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCOc(c34)ccc(C)c4,ZINC20985141,8,Mcule.sdf,458.49384,104
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@@H](C)Oc(c34)cccc4,ZINC20985145,9,Mcule.sdf,458.49384,105
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@H](C)Oc(c34)cccc4,ZINC20985149,10,Mcule.sdf,458.49384,106
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N(CC3)CCC34OCCO4,ZINC09637791,12,Mcule.sdf,452.48688,55
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N([C@@H](C)C3)c(c34)cccc4,ZINC09637855,15,Mcule.sdf,442.49444,56
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N([C@H](C)C3)c(c34)cccc4,ZINC09637859,16,Mcule.sdf,442.49444,57
n1c(Cl)ccc(Cl)c1COC(=O)c2cc(on2)-c3c(OC)ccc(c3)OC,ZINC65568454,18,Mcule.sdf,409.22868,144
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCCCCC3,ZINC06914318,19,Mcule.sdf,408.47693,28
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N(CC3)CCC3C,ZINC06914321,20,Mcule.sdf,408.47693,29
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCCCC3,ZINC09637922,25,Mcule.sdf,394.44984,58
O1COc(c12)ccc(c2)C(=O)COC(=O)c3cc(on3)-c4c(Cl)cccc4,ZINC32936214,26,Mcule.sdf,385.76359,138
O1CCN(C1=O)c2ccc(cc2)OC(=O)c3cc(on3)-c4cc(Cl)ccc4,ZINC52338293,27,Mcule.sdf,384.77886,143
c1ccccc1-c(on2)cc2C(=O)OC3CN(C3)c(n4)sc(c45)cccc5,ZINC77200625,29,Mcule.sdf,377.42485,146
c1cccc(Br)c1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC15669817,30,Mcule.sdf,374.19849,76
c1cc(Br)ccc1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC20896721,31,Mcule.sdf,374.19849,97
c1ccc(Br)cc1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC20896727,32,Mcule.sdf,374.19849,99
Cc1c(Cl)ccc(c1)OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830975,33,Mcule.sdf,371.78013,48
Cc1cc(c(cc1)OC)NC(=O)COC(=O)c2cc(on2)-c3ccccc3,ZINC09602272,34,Mcule.sdf,366.37686,50
c1cc(Cl)ccc1OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830957,35,Mcule.sdf,357.75304,40
c1cccc(Cl)c1OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830969,36,Mcule.sdf,357.75304,44
COc(cc1)ccc1OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08674001,37,Mcule.sdf,353.3345,35
Cc1c(C)cccc1OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08674007,38,Mcule.sdf,351.36219,36
Cc1c(C)ccc(c1)OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830971,39,Mcule.sdf,351.36219,45
Cc1cc(C)cc(c1)OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830973,40,Mcule.sdf,351.36219,46
