"name.cmpd","paper.name","synth.name","IC50","IC50.low","IC50.up","SMILES"
"mPP-0375",NA,"iii20",9.12527493701288,7.13829546896965,11.4554963856079,NA
"mPP-0395",NA,"BLZ-21",13.8287616015451,12.6867803155528,15.0296239936879,NA
"mPP-0397",NA,"BLZ-26",16.820698801025,14.456658939994,19.5087952116792,NA
"mPP-0398",NA,"BLZ-30",17.1549684572586,8.27152939671809,28.6103365504458,NA
"mPP-0383",NA,"OL23",22.5959258196924,18.881209815547,26.2528260879273,NA
"mPP-0385",NA,"OL27",30.9921152031439,28.882591604319,33.1065976416294,NA
"mPP-0362",NA,"iii17",44.5543399315049,42.0063459269609,47.1898363020451,NA
"mPP-0394",NA,"BLZ-19",54.4808809185751,51.0585835721462,58.0872689046684,NA
"mPP-0384",NA,"OL24",57.958548333997,55.7160082329925,60.3343377419293,NA
"mPP-0392",NA,"BLZ-18",72.0592915536163,61.3335663073097,85.2843967101153,NA
"mPP-0381",NA,"OL21",75.3587661316336,71.4995007985093,79.3214723894445,NA
"mPP-0370",NA,"iii14",92.7148256042064,68.0951549730902,126.120089376989,NA
"mPP-0388",NA,"LOF12",108.468071011172,96.8180267033366,120.656776548088,NA
"mPP-0400",NA,"BLZ-4",134.574620378156,118.397361165386,153.101403696291,NA
"mPP-0393",NA,"BLZ-9",152.09146381121,129.535888942771,179.844513740154,NA
"mPP-0399",NA,"BLZ-29",176.09600944082,139.837148599009,223.446276402197,NA
"mPP-0344",NA,"RD6",330.110964321073,241.601254472451,463.799528753255,NA
"mPP-0389",NA,"LOF19",1351.23393512982,453.937434295585,8190.57788398771,NA
"mPP-0353",NA,"RD12",1700.64471902233,791.798393020281,4860.73034787491,NA
"mPP-0340",NA,"RD2",2301.75464009563,1487.95978786598,3657.85535016523,NA
"mPP-0387",NA,"LOF11",2675.13054655309,262.452164925271,87885.0971248572,NA
"mPP-0401",NA,"BLZ-25",3658.67829211911,2346.60466882513,5675.84481125192,NA
"mPP-0339",NA,"RD1",NA,NA,NA,NA
"mPP-0342",NA,"RD4",NA,NA,NA,NA
"mPP-0343",NA,"RD5",NA,NA,NA,NA
"mPP-0345",NA,"RD7",NA,NA,NA,NA
"RD9",NA,"RD9",NA,NA,NA,NA
"mPP-0349",NA,"RD11",NA,NA,NA,NA
"mPP-0346",NA,"RD8",NA,NA,NA,NA
"mPP-0354",NA,"RD13",NA,NA,NA,NA
"mPP-0356",NA,"RD15",NA,NA,NA,NA
"mPP-0347",NA,"RD16",NA,NA,NA,NA
"mPP-0355",NA,"RD14",NA,NA,NA,NA
"mPP-0357",NA,"iii1",NA,NA,NA,NA
"mPP-0358",NA,"iii2",NA,NA,NA,NA
"mPP-0360",NA,"iii4",NA,NA,NA,NA
"mPP-0361",NA,"iii5",NA,NA,NA,NA
"mPP-0359",NA,"iii3",NA,NA,NA,NA
"mPP-0362",NA,"iii6",NA,NA,NA,NA
"mPP-0363",NA,"iii7",NA,NA,NA,NA
"mPP-0365",NA,"iii9",NA,NA,NA,NA
"mPP-0366",NA,"iii10",NA,NA,NA,NA
"mPP-0364",NA,"iii8",NA,NA,NA,NA
"mPP-0367",NA,"iii11",NA,NA,NA,NA
"mPP-0368",NA,"iii12",NA,NA,NA,NA
"mPP-0371",NA,"iii15",NA,NA,NA,NA
"mPP-0369",NA,"iii13",NA,NA,NA,NA
"mPP-0372",NA,"iii16",NA,NA,NA,NA
"mPP-0374",NA,"iii19",NA,NA,NA,NA
"mPP-0373",NA,"iii18",NA,NA,NA,NA
"mPP-0376",NA,"OL15",NA,NA,NA,NA
"mPP-0377",NA,"OL16",NA,NA,NA,NA
"mPP-0379",NA,"OL19",NA,NA,NA,NA
"mPP-0380",NA,"OL20",NA,NA,NA,NA
"mPP-0378",NA,"OL18",NA,NA,NA,NA
"mPP-0382",NA,"OL22",NA,NA,NA,NA
"mPP-0386",NA,"OL30fr5",NA,NA,NA,NA
"mPP-0390",NA,"LOF21",NA,NA,NA,NA
"mPP-0391",NA,"LOF23",NA,NA,NA,NA
"mPP-0396",NA,"BLZ-28",NA,NA,NA,NA
"mPP-0402",NA,"BLZ-27",NA,NA,NA,NA
"mPP-0404",NA,"BLZ-34",NA,NA,NA,NA
"mPP-0405",NA,"BLZ-36",NA,NA,NA,NA
"mPP-0403",NA,"BLZ-31",NA,NA,NA,NA
