"name.cmpd" "synth.name" "IC50" "IC50.low" "IC50.up"
"IAT-39-II" "IAT-39-II" 1455.87124111046 1279.82848925061 1663.38763007566
"mPP-0077" "TL2-73" 2490.11732544377 2149.16366273409 2867.02199222225
"mPP-0078" "AKI XVII103" 2674.85052198937 1974.36336093434 3649.00702790279
"mPP-0077" "TL2-73" 2726.24499636303 2296.48093645642 3222.13513131391
"mPP-0078" "AKI XVII103" 5239.72771868926 4419.42837499779 6124.5708550638
"mPP-0031" "MTI-73" 6057.266900601 5548.40119377492 6579.29536364046
"mPP-0224" "NJ1-58" 6937.60853356176 6198.69787254498 7770.06196862303
"AKI XIII3" "AKI XIII3" 8293.52389262724 4350.82311002315 14585.2716771841
"mPP-0082" "TL4-63" 9291.958261988 7989.47535041626 10705.1035380495
"mPP-0083" "TL4-58" 9386.80463280459 8087.91836539653 10823.1649816678
"mPP-0080" "AKIXVIII7" 9458.31662405111 6968.46954721043 12269.3024036966
"AKI XVII151" "AKI XVII151" 9566.70927740668 7154.19226889901 12108.5476840246
"mPP-0081" "TL4-66" 9990.34741564915 7745.87301893678 12253.7966382182
"mPP-0223" "NJ1-59" 10018.4538804367 7436.465608681 13374.2674948996
"mPP-0086" "IAT-127" 10275.2620595423 8771.51994783182 12042.7864457923
"mPP-0034" "MTI-79" 12658.2341247815 10473.9801768505 15588.2999811334
"mPP-0085" "IAT71" 13026.385508365 9655.59653197477 16575.563739608
"mPP-0224" "NJ1-58" 13419.2427773399 11759.5481321471 15328.0510140613
"IAT-145" "IAT-145" 13660.4698361535 10951.544316016 17322.1550593158
"mPP-0088" "AKI XVII31" 13723.7617782525 12022.9620532535 15683.2808332707
"mPP-0082" "TL4-63" 14595.6540263822 13136.2613058394 16125.0985803115
"mPP-0187" "AKI A183" 14600.8418756846 12169.4089364776 17474.5244019287
"mPP-0087" "AKIXVIII31" 14651.6125337394 11056.5509999775 18383.2930140214
"mPP-0068" "Amb587" 17347.0511355286 15282.161721657 19414.6067711356
"mPP-0189" "TL2-68" 18618.8541381265 15980.4031923648 21630.0006188428
"mPP-0134" "RA-B55+71" 19178.9567548866 11755.9491146683 32465.631612526
"mPP-0026" "MTI-55" 22213.6113131991 16403.4578311946 30698.4747957373
"mPP-0026" "MTI-55" 23873.4703880996 20235.1670950278 27847.5094432108
"mPP-0168" "IM-M60" 24024.7714676779 16251.7207503508 35822.7613462835
"mPP-0045" "Amb891" 29112.6094461285 24484.1642181188 33703.1779563004
"mPP-0091" "AKI XVIII1" 30911.5920816971 23041.2378757955 39880.143825222
"mPP-0046" "Amb898" 35573.6412630088 25138.3932943825 46639.6454945267
"mPP-0023" "MTI35" 37200.1819504901 27499.2159577057 50382.5099175499
"mPP-0025" "MTI-47" 38404.2996650182 19519.6884131266 101398.96340627
"mPP-0215" "Amb777" 39417.5094887457 37880.1991521912 41100.9534447871
"mPP-0028" "MTI-61" 41078.4252615035 32662.9769926719 51632.6632557183
"mPP-0001" "C1" 42477.2243194854 32950.9813143495 52672.7784241021
"mPP-0223" "NJ1-59" 46376.8954797067 35264.4640759207 59675.8736546069
"mPP-0221" "Amb535" 46551.792074713 45188.2490927149 47816.6881004099
"mPP-0207" "Amb486" 47161.1773953103 41354.1479367474 52928.8704312092
"mPP-0029" "MTI-69" 48705.0169001055 47735.9312393144 49636.5075490434
"mPP-0154" "NJ1-27" 72395.0536129248 63651.638146057 82265.8583559738
"mPP-0056" "Amb519" NA NA NA
"mPP-0057" "Amb529" NA NA NA
"mPP-0065" "Amb032" NA NA NA
"mPP-0035" "Amb221" NA NA NA
"mPP-0041" "Amb861" NA NA NA
"mPP-0042" "Amb874" NA NA NA
"mPP-0043" "Amb879" NA NA NA
"mPP-0044" "Amb884" NA NA NA
"mPP-0058" "Amb924" NA NA NA
"mPP-0059" "Amb930" NA NA NA
"mPP-0061" "Amb937" NA NA NA
"mPP-0062" "Amb950" NA NA NA
"mPP-0063" "Amb962" NA NA NA
"mPP-0064" "Amb890" NA NA NA
"mPP-0066" "Amb579" NA NA NA
"mPP-0067" "Amb583" NA NA NA
"mPP-0069" "Amb506" NA NA NA
"mPP-0070" "Amb259" NA NA NA
"mPP-0071" "Amb538" NA NA NA
"mPP-0072" "Amb369" NA NA NA
