"","name.cmpd","paper.name","synth.name","IC50","IC50.low","IC50.up","SMILES"
"12","mPP-0031","11l","MTI-73",6099.66372471081,5593.26351568057,6673.58555312797,"CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"13","mPP-0031","11l","NJ1-33",NA,NA,NA,"CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"14","mPP-0031","11l","NJ1-39",NA,NA,NA,"CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"15","mPP-0031","11l","NJ1-39",NA,NA,NA,"CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"16","mPP-0031","11l","NJ1-33",NA,NA,NA,"CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"17","mPP-0257","12i","NJ2-2",6140.62542874673,5970.75054382218,6319.87329619398,"CC1=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=CC=C1"
"18","mPP-0258","12j","NJ2-3",6714.17878600717,6604.5802643431,6826.57776663026,"O=C(OC1=C(Br)C=CC=C1)C2=NOC(C3=CC=CC(C(C)(C)C)=C3)=C2"
"19","mPP-0224","12k","NJ1-58",6937.6021994968,6198.26033993193,7782.83579973338,"CC1=CC(C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"20","mPP-0224","12k","NJ1-58",13440.0335548569,11774.4810784167,15380.9490836578,"CC1=CC(C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"33","mPP-0223","12l","NJ1-59",10017.9563277026,7468.44811865084,13404.6258602911,"CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"34","mPP-0223","12l","NJ1-59",46378.3519661475,35783.6007202478,59521.7558899599,"CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"38","mPP-0034","11h","MTI-79",12654.2262106196,10470.1703134492,15586.1033606058,"O=C(O)C1=NOC(C2=CC=C([N+]([O-])=O)C=C2)=C1"
"39","mPP-0034","11h","NJ1-53",NA,NA,NA,"O=C(O)C1=NOC(C2=CC=C([N+]([O-])=O)C=C2)=C1"
"48","mPP-0028","5","MTI-61",16899.1495121171,15568.5588812048,18335.4258367624,"CC1=NC(C2=CC(C(O)=O)=NO2)=CS1"
"49","mPP-0028","5","MTI-61",41078.4962082465,32743.169880244,51620.8607158149,"CC1=NC(C2=CC(C(O)=O)=NO2)=CS1"
"50","mPP-0068","SI-54","Amb587",17377.8720247324,15272.7986934732,19423.810677672,"O=C(OC1=CC=CC=C1Br)C2=NOC(C3=CC=C(C)C(C)=C3)=C2"
"54","mPP-0259","12h","NJ2-6",19575.2877524854,16941.9208710051,22608.7752596502,"O=C(OC1=C(Br)C=CC=C1)C2=NOC(C3=CC=C([N+]([O-])=O)C=C3)=C2"
"56","mPP-0026","11k","MTI-55",22213.488161092,16296.348665025,30637.0712348589,"CC1=CC(C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"57","mPP-0026","11k","MTI-55",23859.5875560003,20129.6332169487,27630.4692961922,"CC1=CC(C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"58","mPP-0026","11k","NJ1-35",NA,NA,NA,"CC1=CC(C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"63","mPP-0260","27","NJ2-7",25235.8963963811,17208.4297286104,42380.7542896315,"CC1=CC(C2=CC(C(OC3=CC=CC=C3)=O)=NO2)=CC(C)=C1"
"66","mPP-0045","SI-19","Amb891",29113.2882315725,24572.1427040677,33667.7001300505,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3C(C=CC=C4)=C4CCC3)=O)=C2)=C1)=O"
"67","mPP-0265","15","ARW-220",29325.6535669035,26177.6513006341,32696.7032329009,"O=C(O)C1=CN=C(C2=CC=CC=C2)S1"
"71","mPP-0215","17","Amb777",34113.9796916596,32022.0309984548,36423.3808794022,"CC(C)(C)C1=CC(C(NC2=NC=CS2)=O)=CC(C(C)(C)C)=C1"
"72","mPP-0215","17","Amb777",39453.1805704576,37879.989505601,41121.4780796423,"CC(C)(C)C1=CC(C(NC2=NC=CS2)=O)=CC(C(C)(C)C)=C1"
"74","mPP-0023","11b","MTI35",35494.4935930168,25697.6409802101,50282.1200374343,"O=C(O)C1=NOC(C2=C(C(O)=O)C=CC=C2)=C1"
"75","mPP-0023","11b","DAP-23",NA,NA,NA,"O=C(O)C1=NOC(C2=C(C(O)=O)C=CC=C2)=C1"
"76","mPP-0023","11b","DAP-23",NA,NA,NA,"O=C(O)C1=NOC(C2=C(C(O)=O)C=CC=C2)=C1"
"77","mPP-0046","7","Amb898",35620.2604132966,25507.9449389511,46865.188282589,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C4OCOC4=C3)=O)=C2)=C1)=O"
"81","mPP-0025","SI-39","MTI-47",38516.3884545333,19531.2705048043,101064.582511128,"O=C(O)C1=NOC(C2=C(C(O)=O)C=C([N+]([O-])=O)C=C2)=C1"
"82","mPP-0025","SI-39","NJ1-98",NA,NA,NA,"O=C(O)C1=NOC(C2=C(C(O)=O)C=C([N+]([O-])=O)C=C2)=C1"
"83","mPP-0001","2","C1",42621.53170322,33511.5216683222,52755.9717092039,"OCCS(=O)(C1=CC=C2C(OC(N2)=O)=C1)=O"
"84","mPP-0207","19","Amb486",43054.5238681754,28438.9667142462,57999.4173220908,"CC(C)(C)C1=CC(C(NC2=CC=CC=C2Br)=O)=CC(C(C)(C)C)=C1"
"85","mPP-0207","19","Amb486",47272.0092417863,41528.6892809869,53156.2017720263,"CC(C)(C)C1=CC(C(NC2=CC=CC=C2Br)=O)=CC(C(C)(C)C)=C1"
"86","mPP-0221","18","Amb535",45559.0541436032,43671.2740336829,47420.1866732056,"CC(C)(C)C1=CC(C(NC2=CC=C(S(N)(=O)=O)C=C2)=O)=CC(C(C)(C)C)=C1"
"87","mPP-0221","18","Amb535",46605.8224064419,45308.8570051325,47849.8611587789,"CC(C)(C)C1=CC(C(NC2=CC=C(S(N)(=O)=O)C=C2)=O)=CC(C(C)(C)C)=C1"
"89","mPP-0266","26","ARW-222",47542.2971689633,44233.4711363321,50960.5344650355,"O=C(OC1=CC=CC=C1Br)C2=CN=C(C3=CC=CC=C3)S2"
"91","mPP-0029","11d","MTI-69",48764.9168115688,47830.0271855078,49627.9613676273,"O=C(O)C1=NOC(C2=CC=C(C(O)=O)C=C2)=C1"
"92","mPP-0029","11d","DAP-19",NA,NA,NA,"O=C(O)C1=NOC(C2=CC=C(C(O)=O)C=C2)=C1"
"93","mPP-0029","11d","DAP-19",NA,NA,NA,"O=C(O)C1=NOC(C2=CC=C(C(O)=O)C=C2)=C1"
"98","mPP-0044","SI-31","Amb884",58045.7131266522,43654.2719474508,75164.7285774246,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(F)C(Cl)=C3)=O)=C2)=C1)=O"
"102","mPP-0007","1","C7",70825.6215670069,50612.8593253676,95930.1880801724,"O=C(C1=NOC(C2=C(C=CC=C2)[N+]([O-])=O)=C1)O"
"103","mPP-0154","10l","NJ1-27",72493.0405182895,63960.6134202559,82282.4702470869,"O=C(OCC)C1=NOC(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=C1"
"104","mPP-0154","10l","NJ1-27",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=C1"
"106","mPP-0206","16","Amb928",76047.4497878544,63647.384055197,89710.8070035219,"[O-][N+](C1=CC=C(C2=NC(C(O)=O)=CS2)C=C1)=O"
"107","mPP-0206","16","Amb928",80361.3982116262,66322.8294814644,96388.8320477906,"[O-][N+](C1=CC=C(C2=NC(C(O)=O)=CS2)C=C1)=O"
"108","mPP-0208","20","Amb838",91433.2551599336,75970.83289959,109713.809123993,"CC(C)(C)C1=CC(C(NC2=NC(C=CC=C3)=C3S2)=O)=CC(C(C)(C)C)=C1"
"109","mPP-0208","20","Amb838",93300.7916986523,74701.3324795753,115269.194560922,"CC(C)(C)C1=CC(C(NC2=NC(C=CC=C3)=C3S2)=O)=CC(C(C)(C)C)=C1"
"110","mPP-0217","21","Amb717",100570.965466541,74732.8341492841,137133.561435704,"CC(C)(C)C1=CC(C(NC2=CC=C([N+]([O-])=O)C=C2)=O)=CC(C(C)(C)C)=C1"
