"name.cmpd" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0117" "IAT-120" 1455.87124111046 1280.31641487545 1657.38374424355 NA
"mPP-0077" "TL2-73" 2490.11732544377 2155.87781718504 2860.41805691191 NA
"mPP-0077" "TL2-73" 2726.24499636303 2286.05057471323 3238.60270223068 NA
"mPP-0078" "AKIXVII103" 2674.85052198937 1985.52475243695 3584.58165926545 NA
"mPP-0078" "AKIXVII103" 5239.72771868926 4430.97743270024 6133.77715909295 NA
"mPP-0031" "MTI-73" 6057.266900601 5541.69262331252 6590.28650508124 NA
"mPP-0031" "NJ1-33" NA NA NA NA
"mPP-0031" "NJ1-39" NA NA NA NA
"mPP-0031" "NJ1-39" NA NA NA NA
"mPP-0257" "NJ2-2" 6466.02998671076 6241.05039483067 6692.34975944211 NA
"mPP-0224" "NJ1-58" 6937.60853356176 6195.86730905868 7782.76242367771 NA
"mPP-0224" "NJ1-58" 13419.2427773399 11683.819307371 15314.060785114 NA
"LOF-8" "LOF-8" 7529.67109226665 6837.88933209113 8622.54061942802 NA
"mPP-0084" "AKI XVIII3" 8293.52389262724 4304.1447243021 14395.6676416552 NA
"mPP-0082" "TL4-63" 9291.958261988 7949.44391510971 10679.9315247785 NA
"mPP-0082" "TL4-63" 14595.6540263822 13122.1951484744 16111.9841781514 NA
"mPP-0083" "TL4-58" 9386.80463280459 8064.68414817603 10791.3996472963 NA
"mPP-0120" "IAT-98-II" 9458.31662405111 7000.32584323705 12276.4780879005 NA
"AKIXVII151" "AKIXVII151" 9566.70927740668 7135.68022689809 12117.4961659713 NA
"mPP-0258" "NJ2-3" 9613.72533667931 9223.42265540163 10027.6809184371 NA
"mPP-0081" "TL4-66" 9990.34741564915 7771.30269296347 12391.0050508779 NA
"mPP-0223" "NJ1-59" 10018.4538804367 7431.7936909847 13345.3638516866 NA
"mPP-0223" "NJ1-59" 46376.8954797067 35528.2618697513 59143.0362335738 NA
"mPP-0093" "AKI XVII167" 10275.2620595423 8755.86338617724 12061.6803655283 NA
"LOF-2" "LOF-2" 10434.0677026462 9110.99441857637 11914.4901782841 NA
"LOF-5" "LOF-5" 11384.1821736301 9213.59621255017 13928.7343007298 NA
"mPP-0034" "MTI-79" 12658.2341247815 10471.4206976323 15570.563723661 NA
"mPP-0088" "AKI XVII31" 13026.385508365 9718.0572173965 16535.016462657 NA
"mPP-0087" "AKIXVIII31" 13660.4698361535 10976.7223935512 17338.6461451281 NA
"mPP-0085" "IAT71" 13723.7617782525 11967.5829582579 15702.6056703327 NA
"mPP-0187" "AKI A183" 14600.8418756846 12186.0119575859 17477.1226742273 NA
"IAT-145" "IAT-145" 14651.6125337394 11079.8806240943 18468.6394514709 NA
"mPP-0068" "Amb587" 17347.0511355286 15242.3448638125 19360.273548245 NA
"mPP-0189" "TL2-68" 18618.8541381265 16040.7242367842 21523.1728560592 NA
"mPP-0134" "RA-B55+71" 19178.9567548866 11682.4626247655 32577.6076729805 NA
"mPP-0259" "NJ2-6" 19560.7611520297 17035.8724253799 22462.2526405411 NA
"mPP-0026" "MTI-55" 22213.6113131991 16288.0403342831 30254.7514704895 NA
"mPP-0026" "MTI-55" 23873.4703880996 20195.1741050434 27801.7066383998 NA
"mPP-0168" "IM-M60" 24024.7714676779 16471.2172591766 35517.0804759314 NA
"mPP-0260" "NJ2-7" 25594.815768622 17833.0906012243 41626.5149914883 NA
"mPP-0045" "Amb891" 29112.6094461285 24614.7503445002 33755.389310543 NA
"mPP-0091" "AKIXVIII1" 30911.5920816971 22870.8389888136 40023.3275575456 NA
"mPP-0046" "Amb898" 35573.6412630088 25232.9667871773 47059.3282491424 NA
"mPP-0023" "MTI35" 37200.1819504901 27558.734825215 49917.1034486672 NA
"mPP-0023" "DAP-23" NA NA NA NA
"mPP-0025" "MTI-47" 38404.2996650182 19648.7328003177 99495.8567644235 NA
"mPP-0025" "NJ1-98" NA NA NA NA
"mPP-0215" "Amb777" 39417.5094887457 37834.3329855698 41076.4943468954 NA
"mPP-0028" "MTI-61" 41078.4252615035 32585.0038197038 51731.4319079305 NA
"mPP-0001" "C1" 42477.2243194854 32786.7289877661 52593.6027258295 NA
"mPP-0221" "Amb535" 46551.792074713 45251.7316973693 47845.6622694826 NA
"mPP-0207" "Amb486" 47161.1773953103 41476.6035388276 53171.359106934 NA
"mPP-0029" "MTI-69" 48705.0169001055 47736.2940146472 49632.8221495987 NA
"mPP-0029" "DAP-19" NA NA NA NA
"mPP-0154" "NJ1-27" 72395.0536129248 63905.2061618907 81742.0842518788 NA
"mPP-0154" "NJ1-27" NA NA NA NA
"mPP-0056" "Amb519" NA NA NA NA
"mPP-0057" "Amb529" NA NA NA NA
"mPP-0065" "Amb032" NA NA NA NA
"mPP-0035" "Amb221" NA NA NA NA
"mPP-0041" "Amb861" NA NA NA NA
"mPP-0042" "Amb874" NA NA NA NA
"mPP-0043" "Amb879" NA NA NA NA
"mPP-0044" "Amb884" NA NA NA NA
"mPP-0058" "Amb924" NA NA NA NA
"mPP-0059" "Amb930" NA NA NA NA
"mPP-0061" "Amb937" NA NA NA NA
"mPP-0062" "Amb950" NA NA NA NA
"mPP-0063" "Amb962" NA NA NA NA
"mPP-0064" "Amb890" NA NA NA NA
"mPP-0066" "Amb579" NA NA NA NA
"mPP-0067" "Amb583" NA NA NA NA
"mPP-0069" "Amb506" NA NA NA NA
"mPP-0070" "Amb259" NA NA NA NA
"mPP-0071" "Amb538" NA NA NA NA
"mPP-0072" "Amb369" NA NA NA NA
"mPP-0073" "Amb370" NA NA NA NA
"mPP-0074" "Amb377" NA NA NA NA
"mPP-0075" "Amb074" NA NA NA NA
"mPP-0036" "Amb244" NA NA NA NA
"mPP-0037" "Amb333" NA NA NA NA
"mPP-0038" "Amb713" NA NA NA NA
"mPP-0047" "Amb994" NA NA NA NA
"mPP-0048" "Amb998" NA NA NA NA
"mPP-0049" "Amb004" NA NA NA NA
"mPP-0050" "Amb030" NA NA NA NA
"mPP-0051" "Amb453" NA NA NA NA
"mPP-0052" "Amb149" NA NA NA NA
"mPP-0053" "Amb224" NA NA NA NA
"mPP-0054" "Amb321" NA NA NA NA
"mPP-0055" "Amb322" NA NA NA NA
"mPP-0039" "Amb210" NA NA NA NA
"mPP-0040" "Amb649" NA NA NA NA
"mPP-0105" "LKC098" NA NA NA NA
"mPP-0109" "LKE101" NA NA NA NA
"mPP-0110" "LKE21" NA NA NA NA
"mPP-0107" "LKE61" NA NA NA NA
"mPP-0102" "TL4-31" NA NA NA NA
"mPP-0100" "TL4-50.2" NA NA NA NA
"mPP-0101" "CB-21" NA NA NA NA
"mPP-0108" "CB-26" NA NA NA NA
"mPP-0106" "MV-I-25" NA NA NA NA
"mPP-0113" "PKII-52" NA NA NA NA
"mPP-0097" "TL4-32" NA NA NA NA
"mPP-0115" "TL4-28" NA NA NA NA
"mPP-0104" "TL4-30.2" NA NA NA NA
"mPP-0094" "TL4-18" NA NA NA NA
"mPP-0114" "AKIXVI123" NA NA NA NA
"mPP-0118" "AKIXIII85" NA NA NA NA
"mPP-0119" "AKIXIV165" NA NA NA NA
"mPP-0103" "RA-A111" NA NA NA NA
"mPP-0112" "AKIXII33" NA NA NA NA
"mPP-0121" "RPI-149" NA NA NA NA
"mPP-0122" "RPI-155" NA NA NA NA
"mPP-0116" "RPI-175" NA NA NA NA
"mPP-0099" "RPI-191" NA NA NA NA
"mPP-0111" "RPII-015" NA NA NA NA
"mPP-0086" "IAT-127" NA NA NA NA
"mPP-0098" "IAT-40" NA NA NA NA
"IAT-93" "IAT-93" NA NA NA NA
"mPP-0022" "C22" NA NA NA NA
"mPP-0080" "AKIXVIII7" NA NA NA NA
"mPP-0090" "AKI XVIII55" NA NA NA NA
"mPP-0095" "IAT-31-II" NA NA NA NA
"IAT-39-II" "IAT-39-II" NA NA NA NA
"mPP-0096" "IAT-72" NA NA NA NA
"mPP-0013" "C13" NA NA NA NA
