"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0117" NA "IAT-120" 1455.87124111046 1279.22143890398 1657.3807661918 "CC(OCC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)C=C(C(F)(F)F)C2=O)=O"
"mPP-0077" NA "TL2-73" 2490.11732544377 2161.15895895962 2876.2763796632 "O=C(NCC1=CC=C2C(SC(N)=N2)=C1)C3=CC4=CC=CC=C4N3"
"mPP-0077" NA "TL2-73" 2726.24499636303 2288.02576993259 3244.9290530339 "O=C(NCC1=CC=C2C(SC(N)=N2)=C1)C3=CC4=CC=CC=C4N3"
"mPP-0078" NA "AKIXVII103" 2674.85052198937 1995.01776386742 3693.44093037351 "O=CC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)CC(C(F)(F)F)(O)C2=O"
"mPP-0078" NA "AKIXVII103" 5239.72771868926 4426.07445765838 6133.42532405921 "O=CC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)CC(C(F)(F)F)(O)C2=O"
"mPP-0031" "10m" "MTI-73" 6057.266900601 5563.50469429836 6590.50923178115 "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0031" "10m" "NJ1-33" NA NA NA "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0031" "10m" "NJ1-39" NA NA NA "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0031" "10m" "NJ1-39" NA NA NA "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0257" "11j" "NJ2-2" 6466.02998671076 6247.91272443965 6700.52622233575 "CC1=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=CC=C1"
"mPP-0224" NA "NJ1-58" 6937.60853356176 6190.14461703033 7773.01892397272 "CC1=CC(C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"mPP-0224" NA "NJ1-58" 13419.2427773399 11727.3659367011 15360.9710419284 "CC1=CC(C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"LOF-8" NA "LOF-8" 7529.67109226665 6819.05425239886 8633.52870866946 NA
"mPP-0084" NA "AKI XVIII3" 8293.52389262724 4401.73151843629 14961.7049917131 "O=C(CCSC1=C2C3=C(C=C(C2=O)C(F)(F)F)C=CC(C(C)C)=CC3=C1C)O"
"mPP-0082" NA "TL4-63" 9291.958261988 7964.51653730693 10673.2447367503 "O=C(OC(C=C1)=C2C1=CC=C(C=C2)Cl)C3=CC=CN=C3"
"mPP-0082" NA "TL4-63" 14595.6540263822 13116.4987397105 16131.0692544693 "O=C(OC(C=C1)=C2C1=CC=C(C=C2)Cl)C3=CC=CN=C3"
"mPP-0083" NA "TL4-58" 9386.80463280459 8040.09413584761 10824.0008656602 "ClC(C=C1)=CC=C2C1=C(C=C2CN3CCOCC3)OC(C)=O"
"mPP-0120" NA "IAT-98-II" 9458.31662405111 6984.3789759003 12261.302972589 "O=C1C(C(F)(F)F)=CC(C=CC(C(C)C)=C2)=C(C1=C3NC4=CC=CC=C4)C2=C3C"
"mPP-0079" NA "AKIXVII151" 9566.70927740668 7157.51584440241 12134.3579568272 "CC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)C=C(C(F)(F)F)C2=O"
"mPP-0258" "11k" "NJ2-3" 9613.72533667931 9217.06817447473 10032.026649838 "O=C(OC1=C(Br)C=CC=C1)C2=NOC(C3=CC=CC(C(C)(C)C)=C3)=C2"
"mPP-0081" NA "TL4-66" 9990.34741564915 7773.05119724717 12294.7362897775 "O=C(OC(C=C1)=C2C1=CC=C(C=C2)Cl)C3=CC=CS3"
"mPP-0223" "11m" "NJ1-59" 10018.4538804367 7404.28676868881 13342.373577657 "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"mPP-0223" "11m" "NJ1-59" 46376.8954797067 35898.4872934807 59519.0480673265 "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"mPP-0093" NA "AKI XVII167" 10275.2620595423 8786.89685754591 12087.339433487 "O=C(NCCNC1=C2C3=C(C=C(C2=O)C(F)(F)F)C=CC(C(C)C)=CC3=C1C)OCC4=CC=CC=C4"
"LOF-2" NA "LOF-2" 10434.0677026462 9108.76072706729 11976.6699651255 NA
"LOF-5" NA "LOF-5" 11384.1821736301 9165.66215636266 14004.7358886279 NA
"mPP-0034" "10i" "MTI-79" 12658.2341247815 10471.6599376712 15739.6243196814 "O=C(O)C1=NOC(C2=CC=C([N+]([O-])=O)C=C2)=C1"
"mPP-0088" NA "AKI XVII31" 13026.385508365 9710.73007173941 16510.4108837473 "O=C(CCSC1C(C)=C2C=C(C=CC3=CC(C(F)(F)F)=C(O)C1=C23)C(C)C)O"
"mPP-0087" NA "AKIXVIII31" 13660.4698361535 10915.1343237214 17246.69989014 "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC4=CC=CO4)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0085" NA "IAT71" 13723.7617782525 11970.8980898308 15662.7693066879 "O=C1C(C(F)(F)F)=CC2=C3C1=C(NC(C)C)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0187" NA "AKI A183" 14600.8418756846 12210.6855732128 17614.736707689 "CC(C)C1=CC2=C(/C=C/C(O)=O)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
