"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0117" NA "IAT-120" 1455.86630878649 1279.24879899806 1663.92251322254 "CC(OCC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)C=C(C(F)(F)F)C2=O)=O"
"mPP-0077" NA "TL2-73" 2490.35194451992 2145.05835590657 2870.07560314358 "O=C(NCC1=CC=C2C(SC(N)=N2)=C1)C3=CC4=CC=CC=C4N3"
"mPP-0078" NA "AKIXVII103" 2674.83799571528 1975.04922295299 3652.55954403023 "O=CC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)CC(C(F)(F)F)(O)C2=O"
"mPP-0077" NA "TL2-73" 2726.24441573463 2284.44161318134 3236.24855589671 "O=C(NCC1=CC=C2C(SC(N)=N2)=C1)C3=CC4=CC=CC=C4N3"
"mPP-0078" NA "AKIXVII103" 5239.33868085635 4431.09579877489 6171.29726785216 "O=CC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)CC(C(F)(F)F)(O)C2=O"
"mPP-0031" "10m" "MTI-73" 6099.66372471081 5593.26351568057 6673.58555312797 "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0224" "11l" "NJ1-58" 6937.6021994968 6198.26033993193 7782.83579973338 "CC1=CC(C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"mPP-0084" NA "AKI XVIII3" 8293.56008518897 4402.38643165359 14580.993799561 "O=C(CCSC1=C2C3=C(C=C(C2=O)C(F)(F)F)C=CC(C(C)C)=CC3=C1C)O"
"mPP-0082" NA "TL4-63" 9306.88354473764 7968.22030646397 10662.5098646736 "O=C(OC(C=C1)=C2C1=CC=C(C=C2)Cl)C3=CC=CN=C3"
"mPP-0083" NA "TL4-58" 9386.83739541714 8104.14257616781 10819.4453013717 "ClC(C=C1)=CC=C2C1=C(C=C2CN3CCOCC3)OC(C)=O"
"mPP-0120" NA "IAT-98-II" 9458.94343030409 6996.2029640507 12343.8773655803 "O=C1C(C(F)(F)F)=CC(C=CC(C(C)C)=C2)=C(C1=C3NC4=CC=CC=C4)C2=C3C"
"mPP-0079" NA "AKIXVII151" 9582.62386085287 7240.9397340851 12146.226002264 "CC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)C=C(C(F)(F)F)C2=O"
