"name.cmpd" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0076" "IAT 39-II" 1455.87124111046 1278.26193564859 1660.74841212146 "O=c1c2c3c(c(C)c2NCCO)cc(C(C)C)Ccc3cc1C(F)(F)F"
"mPP-0077" "TL2-73" 2490.11732544377 2157.50481272364 2850.12117355799 "O=C(NCc1cCc2c(sc(N)n2)c1)C3Nc4c(cccC4)c3"
"mPP-0077" "TL2-73" 2726.24499636303 2282.79438703952 3246.5903549342 "O=C(NCc1cCc2c(sc(N)n2)c1)C3Nc4c(cccC4)c3"
"mPP-0078" "AKIXVII103" 2674.85052198937 1999.29058597394 3636.35341279024 "O=Cc1c(c2C3C1)cC(C(C)C)CCC2CC(C(F)(F)F)(O)C3=O"
"mPP-0078" "AKIXVII103" 5239.72771868926 4453.47246155731 6130.31760131915 "O=Cc1c(c2C3C1)cC(C(C)C)CCC2CC(C(F)(F)F)(O)C3=O"
"mPP-0031" "MTI-73" 6057.266900601 5573.3774617637 6597.36346849871 "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0031" "NJ1-33" NA NA NA "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0031" "NJ1-39" NA NA NA "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0031" "NJ1-39" NA NA NA "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0257" "NJ2-2" 6466.02998671076 6248.11014791844 6689.28621413671 NA
"mPP-0224" "NJ1-58" 6937.60853356176 6200.97428988998 7779.57518368959 "CC1=CC(C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"mPP-0224" "NJ1-58" 13419.2427773399 11768.1131459295 15421.4158658471 "CC1=CC(C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"LOF-8" "LOF-8" 7529.67109226665 6837.81365499004 8587.98612654747 NA
"mPP-0084" "AKI XVIII3" 8293.52389262724 4393.86415605476 14780.3619358958 "O=C(CCSc(c1c23)c(C)c2cc(C(C)C)ccc3cc(C(F)(F)F)c1=O)O"
"mPP-0082" "TL4-63" 9291.958261988 7927.38973322858 10659.7202228547 "O=C(Oc1c2ccc(Cl)ccc2cc1)c3cnccc3"
"mPP-0082" "TL4-63" 14595.6540263822 13156.3094117328 16131.832128566 "O=C(Oc1c2ccc(Cl)ccc2cc1)c3cnccc3"
"mPP-0083" "TL4-58" 9386.80463280459 8081.20428156151 10853.7789441638 "Clc1ccc(c(OC(C)=O)cC2CN3CCOCC3)c2cc1"
"mPP-0080" "AKIXVIII7" 9458.31662405111 7054.15539793625 12255.666215705 "O=c1c2c(NC)C(C)c3c2c(ccc(C(C)C)c3)cc1C(F)(F)F"
"mPP-0079" "AKIXVII151" 9566.70927740668 7180.63066579438 12042.3863124884 "Cc1c2cC(C(C)C)Ccc3c2c(C(C(c3)C(F)(F)F)=O)c1"
"mPP-0258" "NJ2-3" 9613.72533667931 9224.62297184629 10035.4504768387 NA
"mPP-0081" "TL4-66" 9990.34741564915 7828.82969176952 12366.4502850054 "O=C(Oc1c2ccc(Cl)Ccc2cc1)c3cccs3"
"mPP-0223" "NJ1-59" 10018.4538804367 7466.0941636145 13507.737664642 "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"mPP-0223" "NJ1-59" 46376.8954797067 35647.4432053342 59899.9529187107 "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"mPP-0086" "IAT-127" 10275.2620595423 8809.2838170665 12057.0179536073 "CC(OCC1C2c3c(C(C(O)(CC3Ccc(C(C)C)C2)C(F)(F)F)=O)c1)=O"
"LOF-2" "LOF-2" 10434.0677026462 9108.69002786169 11970.0183445658 NA
"LOF-5" "LOF-5" 11384.1821736301 9269.31812380307 13882.8648424231 NA
"mPP-0034" "MTI-79" 12658.2341247815 10460.6669221469 15669.9803316551 "O=C(O)C1=NOC(C2=CC=C([N+]([O-])=O)C=C2)=C1"
"mPP-0085" "IAT71" 13026.385508365 9685.81815205293 16531.2309123106 "O=C1C(cc(CCc(C(C)C)c2)c3c2c(C(NC(C)C)C13)C)C(F)(F)F"
"mPP-0089" "IAT-145" 13660.4698361535 11037.3727664102 17272.234221957 "O=C1C(Cc2c(c1c(N3CCCCC3)C4C)C4cc(C(C)C)cc2)C(F)(F)F"
"mPP-0088" "AKIXVII31" 13723.7617782525 11975.800569357 15691.9068339156 "O=C(CCSC1C(C)=C2C=C(C=Cc3c2c1C(O)c(C(F)(F)F)c3)C(C)C)O"
