"Title","docking score","XP GScore","glide gscore"
"mPP-0293",-5.424,-5.835,-5.835
"mPP-0293",-4.940,-5.351,-5.351
"mPP-0293",-4.793,-5.204,-5.204
"mPP-0293",-4.480,-4.891,-4.891
"mPP-0293",-4.221,-4.632,-4.632
"mPP-0293",-3.727,-4.138,-4.138
"mPP-0293",-3.055,-3.466,-3.466
"mPP-0293",-2.462,-2.872,-2.872
"mPP-0293",-2.262,-2.673,-2.673
"mPP-0293",-1.954,-2.365,-2.365
"mPP-0293",-1.746,-2.157,-2.157
"mPP-0293",-1.696,-2.107,-2.107
"mPP-0293",-1.497,-1.908,-1.908
"mPP-0293",-1.302,-1.713,-1.713
"mPP-0293",-1.064,-1.474,-1.474
"mPP-0293",-0.992,-1.403,-1.403
"mPP-0293",-0.957,-1.368,-1.368
"mPP-0224",-0.948,-0.948,-0.948
"mPP-0293",-0.788,-1.199,-1.199
"mPP-0293",-0.693,-1.104,-1.104
"mPP-0293",-0.389,-0.800,-0.800
"mPP-0293",-0.389,-0.800,-0.800
"mPP-0293",-0.334,-0.745,-0.745
"mPP-0224",-0.305,-0.305,-0.305
"mPP-0293",-0.292,-0.703,-0.703
"mPP-0293",-0.164,-0.575,-0.575
"mPP-0293",0.060,-0.351,-0.351
"mPP-0224",0.101,0.101,0.101
"mPP-0224",0.130,0.130,0.130
"mPP-0293",0.196,-0.214,-0.214
"mPP-0224",0.217,0.217,0.217
"mPP-0293",0.556,0.145,0.145
"mPP-0224",1.019,1.019,1.019
"mPP-0224",1.257,1.257,1.257
"mPP-0224",5.067,5.067,5.067
"mPP-0398",-0.963,-0.963,-0.963
"mPP-0398",-0.483,-0.483,-0.483
"mPP-0398",-0.064,-0.064,-0.064
"mPP-0398",0.240,0.240,0.240
"mPP-0398",0.429,0.429,0.429
"mPP-0398",0.505,0.505,0.505
"mPP-0398",0.537,0.537,0.537
"mPP-0398",0.567,0.567,0.567
"mPP-0398",0.592,0.592,0.592
"mPP-0398",0.765,0.765,0.765
"mPP-0398",0.798,0.798,0.798
"mPP-0398",1.002,1.002,1.002
"mPP-0398",1.675,1.675,1.675
"mPP-0398",1.743,1.743,1.743
"mPP-0398",2.383,2.383,2.383
"mPP-0398",3.134,3.134,3.134
"mPP-0398",3.451,3.451,3.451
"mPP-0398",3.923,3.923,3.923
"mPP-0398",4.853,4.853,4.853
"mPP-0398",4.997,4.997,4.997
