HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
AAHRR_1,4.5383,0.9172,1.0000,0.6389,1.6813,2,0.0000,4.5383,1.0000,mol_2
AAHRR_2,4.5383,0.9171,1.0000,0.6389,1.6813,2,0.0000,4.5383,1.0000,mol_2
AAHRR_3,4.5242,0.9162,1.0000,0.6379,1.6690,2,0.0000,4.5242,1.0000,mol_2
AAHRR_4,4.5242,0.9162,1.0000,0.6379,1.6690,2,0.0000,4.5242,1.0000,mol_2
AAHRR_5,4.5146,0.9154,1.0000,0.6394,1.6588,2,0.0000,4.5146,1.0000,mol_2
AAHRR_6,4.5146,0.9154,1.0000,0.6394,1.6588,2,0.0000,4.5146,1.0000,mol_2
AHHRR_1,4.4596,0.6839,0.9584,0.5661,1.9501,2,0.0000,4.4596,1.0000,mol_1
AHHRR_2,4.4595,0.6839,0.9584,0.5661,1.9501,2,0.0000,4.4595,1.0000,mol_1
AAAHR_1,4.4251,0.9751,0.9971,0.6431,1.5087,2,0.0000,4.4251,1.0000,mol_2
AAAHR_2,4.4251,0.9751,0.9971,0.6431,1.5087,2,0.0000,4.4251,1.0000,mol_2
AHRR_1,4.2405,0.9104,1.0000,0.6369,1.3922,2,0.0000,4.2405,0.9530,mol_2
AHRR_2,4.2405,0.9104,1.0000,0.6369,1.3922,2,0.0000,4.2405,0.9620,mol_2
AHRR_3,4.2259,0.9093,1.0000,0.6357,1.3799,2,0.0000,4.2259,1.0000,mol_2
AHRR_4,4.2259,0.9093,1.0000,0.6357,1.3799,2,0.0000,4.2259,1.0000,mol_2
AHRR_5,4.2202,0.9105,1.0000,0.6377,1.3710,2,0.0000,4.2202,1.0000,mol_2
AHRR_6,4.2202,0.9105,1.0000,0.6377,1.3710,2,0.0000,4.2202,1.0000,mol_2
AHRR_7,4.2161,0.9153,1.0000,0.6357,1.3641,2,0.0000,4.2161,1.0000,mol_2
AHRR_8,4.2159,0.9083,1.0000,0.6369,1.3697,2,0.0000,4.2159,1.0000,mol_2
AHRR_9,4.2159,0.9083,1.0000,0.6369,1.3697,2,0.0000,4.2159,1.0000,mol_2
AAHR_1,4.1833,0.9742,0.9961,0.6427,1.2693,2,0.0000,4.1833,0.9806,mol_2
